UTC,Open,High,Low,Close,Volume
03.01.2022 03:39:00.000 UTC,1824.638,1824.638,1824.478,1824.498,0.0077
03.01.2022 03:40:00.000 UTC,1824.498,1824.638,1824.418,1824.478,0.01897
03.01.2022 03:41:00.000 UTC,1824.478,1824.788,1824.468,1824.708,0.01272
03.01.2022 03:42:00.000 UTC,1824.708,1824.798,1824.658,1824.748,0.01336
03.01.2022 03:43:00.000 UTC,1824.768,1824.878,1824.648,1824.658,0.0109
03.01.2022 03:44:00.000 UTC,1824.668,1824.788,1824.548,1824.788,0.016
03.01.2022 03:45:00.000 UTC,1824.788,1824.788,1824.518,1824.548,0.01191
03.01.2022 03:46:00.000 UTC,1824.568,1824.598,1824.408,1824.468,0.0125
03.01.2022 03:47:00.000 UTC,1824.468,1824.588,1824.398,1824.458,0.01288
03.01.2022 03:48:00.000 UTC,1824.458,1824.568,1824.448,1824.538,0.00735
03.01.2022 03:49:00.000 UTC,1824.528,1824.648,1824.518,1824.648,0.01502
03.01.2022 03:50:00.000 UTC,1824.648,1824.928,1824.648,1824.928,0.01114
03.01.2022 03:51:00.000 UTC,1824.928,1825.028,1824.898,1824.938,0.00943
03.01.2022 03:52:00.000 UTC,1824.938,1824.978,1824.868,1824.868,0.01101
03.01.2022 03:53:00.000 UTC,1824.868,1825.158,1824.868,1825.068,0.01512
03.01.2022 03:54:00.000 UTC,1825.098,1825.168,1825.088,1825.118,0.0072
03.01.2022 03:55:00.000 UTC,1825.088,1825.328,1825.038,1825.228,0.01668
03.01.2022 03:56:00.000 UTC,1825.218,1825.338,1825.218,1825.338,0.0148
03.01.2022 03:57:00.000 UTC,1825.338,1825.378,1825.278,1825.328,0.01186
03.01.2022 03:58:00.000 UTC,1825.308,1825.578,1825.308,1825.558,0.00859
03.01.2022 03:59:00.000 UTC,1825.568,1825.618,1825.508,1825.618,0.01602
03.01.2022 04:00:00.000 UTC,1825.618,1825.618,1825.358,1825.498,0.0204
03.01.2022 04:01:00.000 UTC,1825.498,1825.498,1824.868,1825.258,0.02687
03.01.2022 04:02:00.000 UTC,1825.238,1825.338,1825.208,1825.308,0.01014
03.01.2022 04:03:00.000 UTC,1825.274,1825.274,1825.068,1825.088,0.01214
03.01.2022 04:04:00.000 UTC,1825.118,1825.168,1825.068,1825.128,0.01229
03.01.2022 04:05:00.000 UTC,1825.128,1825.288,1825.128,1825.268,0.00755
03.01.2022 04:06:00.000 UTC,1825.258,1825.438,1825.258,1825.398,0.01029
03.01.2022 04:07:00.000 UTC,1825.448,1825.488,1825.378,1825.468,0.00701
03.01.2022 04:08:00.000 UTC,1825.448,1825.498,1825.398,1825.428,0.00943
03.01.2022 04:09:00.000 UTC,1825.478,1825.654,1825.468,1825.618,0.00953
